nsn,candidate_mpn,manufacturer,digikey_pn,attribute_name,raw_name,raw_value,value_num,value_min,value_max,uom,value_text,parse_status,source
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,size_dimension,Size / Dimension,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",,,,,0063LX0031W160MMX080MM,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,height_seated_max,Height - Seated (Max),"0.022"" (0.55mm)",,,,,0022055MM,text,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,ERA-3AEB123V,Panasonic Industry,P12KDBTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,resistance,Resistance,200 Ohms,200.0,,,ohm,200 Ohms,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,features,Features,Automotive AEC-Q200,,,,,AUTOMOTIVEAECQ200,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,ratings,Ratings,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,size_dimension,Size / Dimension,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",,,,,0063LX0031W160MMX080MM,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,height_seated_max,Height - Seated (Max),"0.022"" (0.55mm)",,,,,0022055MM,text,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,ERA-3AEB201V,Panasonic Industry,P200DBTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,resistance,Resistance,2 kOhms,2000.0,,,ohm,2 kOhms,number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,features,Features,Automotive AEC-Q200,,,,,AUTOMOTIVEAECQ200,text,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,ratings,Ratings,-,,,,,,empty,digikey
5905-00-493-1204,ERA-3AEB202V,Panasonic Industry,P2.0KDBTR-ND,size_dimension,Size / Dimension,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",,,,,0063LX0031W160MMX080MM,text,digikey
